Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
BORCS8-MEF2B	0.97	0.0	0.0	0.0
BR6OX1	0.98	1.28	1.12	2.25
BRCA1	0.0	0.0	0.0	0.0
BRD7	2.88	0.57	0.0	0.0
BRF1	1.32	0.0	0.0	0.0
BRICD5	4.84	0.0	0.0	0.0
BRLZ	0.84	0.0	0.0	0.0
BRMS1	1.61	0.0	0.0	0.0
BSCL2	1.05	0.0	0.0	0.0
BST2	0.0	0.0	0.26	0.58
BTBD1	3.87	0.0	0.0	0.0
BTBD2	0.69	0.0	0.0	0.0
BTBD6	0.58	0.0	0.0	0.09
BTF3	3.01	0.06	0.0	0.0
BTG2	3.16	0.0	0.0	0.0
BTU02	0.2	0.53	0.5	0.19
BTU03	0.13	0.57	0.0	0.0
BTU06	0.0	2.29	0.0	0.79
BUD31	1.81	0.0	0.0	0.0
BZW1	1.665	0.0	0.0	0.0
BZW2	5.5	0.0	0.0	0.0
Babam1	1.06	0.95	0.0	0.0
Bcl2l1	0.0	0.95	0.0	0.0
Bdh1	0.44	0.0	0.25	0.14
Becn1	0.34	0.0	0.0	0.0
Bhmt2	0.0	0.9	0.0	0.0
Bmp1	0.77	0.0	0.0	0.0
Bsg	0.15	0.39	0.0	0.0
Bst2	0.36	0.0	0.5	0.11
Btub	1.07	1.44	0.0	1.0
Bv8-6	2.05	2.48	2.33	2.82
C	0.0	0.0	0.48	0.0
C10H10orf99	4.41	0.0	0.0	0.0
C10orf128	1.89	0.0	0.0	0.0
C10orf99	4.06	0.0	0.0	0.0
C11orf1	1.89	0.0	0.0	0.0
C11orf24	0.73	0.0	0.0	0.0
C11orf49	1.83	0.0	0.0	0.0
C11orf58	0.74	0.0	0.0	0.0
C11orf68	1.31	0.0	0.0	0.0
C11orf96	1.63	0.0	0.0	0.0
C11orf98	1.37	0.0	0.0	0.09
C12H12orf10	4.26	0.0	0.0	0.0
C12H12orf45	4.35	0.0	0.0	0.0
C12orf57	2.96	0.0	0.0	0.0
C15orf39	2.9	0.0	0.0	0.0
C15orf48	6.36	0.06	0.0	0.0
C16orf58	0.93	0.0	0.0	0.0
C16orf62	1.57	0.0	0.0	0.0
C17orf62	0.755	0.0	0.095	0.0
C19H19orf66	3.42	0.0	0.0	0.0
C19orf24	2.11	0.19	0.0	0.0
C19orf33	3.55	0.0	0.0	0.0
C19orf48	0.77	0.0	0.0	0.405
C19orf53	1.1	0.0	0.0	0.0
C19orf70	1.92	0.0	0.21	0.0
C1QB	1.85	0.0	0.0	0.0
C1QBP	0.91	0.07	0.07	0.0
C1QC	0.71	0.0	0.0	0.0
C1R	0.66	0.03	0.03	0.0
C1S	0.84	0.0	0.0	0.1
C1orf106	1.52	0.0	0.0	0.0
C1orf198	1.16	0.21	0.0	0.0
C1orf43	1.77	0.0	0.0	0.0
C1orf53	1.63	0.0	0.0	0.0
C1ra	0.49	0.2966666666666667	0.06333333333333334	0.0
C1rl	1.78	0.0	0.0	0.0
C1s1	0.5349999999999999	0.105	0.0	0.0
C1sa	0.08	0.07	0.065	0.0
C20H20orf27	0.87	0.0	0.0	0.0
C20orf27	1.79	0.0	0.0	0.0
C21orf2	0.55	0.0	0.0	0.0
C22H22orf39	0.0	0.0	0.0	0.0
